sensor id,contents,original name field (beehive1),unit (beehive1),converted name field, unit (converted)
0x28,Histogram PM 1,Alphasense;pm1,count,Alphasense;pm1,ug/m3
0x28,Histogram PM 2.5,Alphasense;pm2.5,count,Alphasense;pm2.5,ug/m3
0x28,Histogram PM 10,Alphasense;pm10,count,Alphasense;pm10,ug/m3
0x29,Serial,Alphasense;id,n/a,Alphasense;id,n/a
0x30,Firmware,Alphasense;fw,n/a,Alphasense;fw,n/a
0x31,Alpha config bin boundaries,n/a,n/a,n/a,n/a
0x31,Alpha config bin particle volumes,n/a,n/a,n/a,n/a
0x31,Alpha config bin particle dencities,n/a,n/a,n/a,n/a
0x31,Alpha config bin sample volume weightings,n/a,n/a,n/a,n/a
0x31,Alpha config gain scaling coeifficient,n/a,n/a,n/a,n/a
0x31,Alpha config sampling flow rate,n/a,n/a,n/a,n/a
0x31,Alpha config laser DAC,n/a,n/a,n/a,n/a
0x31,Alpha config fan DAC,n/a,n/a,n/a,n/a
0x31,Alpha config conversion facto,n/a,n/a,n/a,n/a
0x31,Alpha config spare bytes,n/a,n/a,n/a,n/a
0x2C,Rain gauge,n/a,n/a,n/a,n/a
0x2D,Soil moisture volumetric Water Content,n/a,n/a,n/a,n/a
0x2D,Soil moisture electric conductivity,n/a,n/a,n/a,n/a
0x2D,Soil moisture temperature,n/a,n/a,n/a,n/a
